Date Borrowed,Date Returned,Quantity,Equipment Name,Time Borrowed,Time Returned,Days Duration,Time Duration,Total Duration,DateTime Borrowed,DateTime Returned,ProcessedName,UniqueID,isReturned
03/01/2018,03/01/2018,1,ECS 3:5 Connectors & Probe,10:45 am,11:15 am,0,0.5,0.5,03/01/2018 10:45,03/01/2018 11:15,connectors,TC102E3C1,1
03/01/2018,03/01/2018,1,Projector,12:15 pm,3:15 pm,0,3,3,03/01/2018 12:15,03/01/2018 15:15,acer projector,ENB205PaMRJER1,1
03/01/2018,03/01/2018,1,Projector,7:30 am,2:15 pm,0,6.75,6.75,03/01/2018 7:30,03/01/2018 14:15,infocus projector,ENB205PIBJBK32,1
03/01/2018,03/01/2018,1,Digital Oscilloscope,12:30 pm,2:30 pm,0,2,2,03/01/2018 12:30,03/01/2018 14:30,digital oscilloscope,ENB204DOU210001,1
03/01/2018,03/01/2018,1,Compression for Digital Flame Photometer,10:15 am,2:15 pm,0,4,4,03/01/2018 10:15,03/01/2018 14:15,digital function generator,ENB205CfDn1,1
03/01/2018,03/01/2018,1,Projector,10:00 am,10:15 am,0,0.25,0.25,03/01/2018 10:00,03/01/2018 10:15,infocus projector,ENB205PaMRJL83,1
03/01/2018,03/01/2018,1,Arduino Stimulator Kits and Arduino Project Books,10:45 am,2:15 pm,0,3.5,3.5,03/01/2018 10:45,03/01/2018 14:15,arduino stimulator kits and arduino project books,ENB205ASKA1,1
03/01/2018,03/01/2018,1,PSK Modulator/Demodulator,10:30 am,11:45 am,0,1.25,1.25,03/01/2018 10:30,03/01/2018 11:45,pcm modulator/demodulator,ENB205PMETETEKD1,1
03/01/2018,03/01/2018,1,Projector,12:15 pm,12:45 pm,0,0.5,0.5,03/01/2018 12:15,03/01/2018 12:45,infocus projector,ENB205PEX4HL94,1
03/01/2018,03/01/2018,1,Network Interface Card Panel (10 Base-5),12:15 pm,3:00 pm,0,2.75,2.75,03/01/2018 12:15,03/01/2018 15:00,el 2 key,ENB205NICL1,1
03/01/2018,03/01/2018,1,Arduino Stimulator Kits and Arduino Project Books,10:15 am,2:45 pm,0,4.5,4.5,03/01/2018 10:15,03/01/2018 14:45,arduino stimulator kits and arduino project books,ENB205ASKA2,1
03/01/2018,03/01/2018,1,Arduino Stimulator Kits and Arduino Project Books,11:30 am,2:15 pm,0,2.75,2.75,03/01/2018 11:30,03/01/2018 14:15,arduino stimulator kits and arduino project books,ENB205ASKA3,1
03/01/2018,03/01/2018,1,Arduino Stimulator Kits and Arduino Project Books,9:15 am,3:15 pm,0,6,6,03/01/2018 9:15,03/01/2018 15:15,arduino stimulator kits and arduino project books,ENB205ASKA4,1
03/01/2018,03/01/2018,1,Arduino Stimulator Kits and Arduino Project Books,12:15 pm,1:00 pm,0,0.75,0.75,03/01/2018 12:15,03/01/2018 13:00,arduino stimulator kits and arduino project books,ENB205ASKA5,1
03/01/2018,03/01/2018,1,Arduino Stimulator Kits and Arduino Project Books,9:45 am,2:15 pm,0,4.5,4.5,03/01/2018 9:45,03/01/2018 14:15,arduino stimulator kits and arduino project books,ENB205ASKA6,1
03/01/2018,03/01/2018,1,Arduino Stimulator Kits and Arduino Project Books,9:30 am,9:30 am,0,0,0,03/01/2018 9:30,03/01/2018 9:30,arduino stimulator kits and arduino project books,ENB205ASKA7,1
03/01/2018,03/01/2018,1,Arduino Stimulator Kits and Arduino Project Books,12:00 pm,2:45 pm,0,2.75,2.75,03/01/2018 12:00,03/01/2018 14:45,arduino stimulator kits and arduino project books,ENB205ASKA8,1
03/01/2018,03/01/2018,1,Arduino Stimulator Kits and Arduino Project Books,12:30 pm,2:30 pm,0,2,2,03/01/2018 12:30,03/01/2018 14:30,arduino stimulator kits and arduino project books,ENB205ASKA9,1
03/01/2018,03/01/2018,1,Arduino Stimulator Kits and Arduino Project Books,10:15 am,2:00 pm,0,3.75,3.75,03/01/2018 10:15,03/01/2018 14:00,arduino stimulator kits and arduino project books,ENB205ASKA10,1
03/01/2018,03/01/2018,1,Arduino Stimulator Kits and Arduino Project Books,11:30 am,3:30 pm,0,4,4,03/01/2018 11:30,03/01/2018 15:30,arduino stimulator kits and arduino project books,ENB205ASKA11,1
03/01/2018,03/01/2018,1,Arduino Stimulator Kits and Arduino Project Books,8:30 am,10:15 am,0,1.75,1.75,03/01/2018 8:30,03/01/2018 10:15,arduino stimulator kits and arduino project books,ENB205ASKA12,1
03/01/2018,03/01/2018,1,Arduino Stimulator Kits and Arduino Project Books,8:00 am,12:15 pm,0,4.25,4.25,03/01/2018 8:00,03/01/2018 12:15,arduino stimulator kits and arduino project books,ENB205ASKA1,1
03/01/2018,03/01/2018,1,Projector,9:30 am,9:45 am,0,0.25,0.25,03/01/2018 9:30,03/01/2018 9:45,infocus projector,TC101PAMRJM31,1
09/01/2018,09/01/2018,1,Projector,11:00 am,3:30 pm,0,4.5,4.5,09/01/2018 11:00,09/01/2018 15:30,acer projector/extension,ENB205PaMRJER1,1
09/01/2018,09/01/2018,1,Projector,12:15 pm,12:15 pm,0,0,0,09/01/2018 12:15,09/01/2018 12:15,infocus projector,ENB205PIBJBK32,1
09/01/2018,09/01/2018,1,Projector,10:00 am,10:15 am,0,0.25,0.25,09/01/2018 10:00,09/01/2018 10:15,acer projector,ENB205PaMRJL83,1
10/01/2018,10/01/2018,1,Adapter,7:30 am,5:00 pm,0,9.5,9.5,10/01/2018 7:30,10/01/2018 17:00,adaptor,ENB205ACSBVD051,1
10/01/2018,10/01/2018,1,Remote,11:45 am,4:30 pm,0,4.75,4.75,10/01/2018 11:45,10/01/2018 16:30,tv with remote,ENB205RA1,1
10/01/2018,10/01/2018,1,Projector,2:15 pm,4:45 pm,0,2.5,2.5,10/01/2018 14:15,10/01/2018 16:45,infocus projector,ENB205PEX4HL94,1
10/01/2018,10/01/2018,1,Projector,9:45 am,11:45 am,0,2,2,10/01/2018 9:45,10/01/2018 11:45,infocus projector/extension,TC101PAMRJM31,1
10/01/2018,10/01/2018,1,Projector,10:00 am,5:00 pm,0,7,7,10/01/2018 10:00,10/01/2018 17:00,acer projector,ENB205PaMRJER1,1
10/01/2018,10/01/2018,1,Projector,11:00 am,1:30 pm,0,2.5,2.5,10/01/2018 11:00,10/01/2018 13:30,acer projector,ENB205PIBJBK32,1
10/01/2018,10/01/2018,1,Media Converter,9:15 am,12:15 pm,0,3,3,10/01/2018 9:15,10/01/2018 12:15,aver media,ENB205MC201311,1
12/01/2018,12/01/2018,1,Projector,8:00 am,10:50 am,0,2.833333333,2.833333333,12/01/2018 8:00,12/01/2018 10:50,acer projector,ENB205PaMRJL83,1
12/01/2018,12/01/2018,1,Madison Cable (Blue),3:30 pm,4:50 pm,0,1.333333333,1.333333333,12/01/2018 15:30,12/01/2018 16:50,hdmi cable,ENB205MC1,1
12/01/2018,12/01/2018,1,RCA Connector,8:00 am,10:50 am,0,2.833333333,2.833333333,12/01/2018 8:00,12/01/2018 10:50,hdmi connector,ENB205RC1,1
12/01/2018,12/01/2018,1,Micro Cutting Plier (Nipper),3:45 pm,4:13 pm,0,0.466666667,0.466666667,12/01/2018 15:45,12/01/2018 16:13,pliera,ENB205MCPPK1,1
12/01/2018,12/01/2018,1,Projector,12:00 pm,2:02 pm,0,2.033333333,2.033333333,12/01/2018 12:00,12/01/2018 14:02,infocus projector,ENB205PEX4HL94,1
12/01/2018,12/01/2018,1,Projector,12:00 pm,3:30 pm,0,3.5,3.5,12/01/2018 12:00,12/01/2018 15:30,acer projector,TC101PAMRJM31,1
12/01/2018,12/01/2018,1,Projector,2:02 pm,4:00 pm,0,1.966666667,1.966666667,12/01/2018 14:02,12/01/2018 16:00,infocus projector,ENB205PaMRJER1,1
03/02/2018,03/02/2018,1,Projector,7:30 am,9:30 am,0,2,2,03/02/2018 7:30,03/02/2018 9:30,acer projector,ENB205PIBJBK32,1
03/02/2018,03/02/2018,1,Projector,1:30 pm,2:00 pm,0,0.5,0.5,03/02/2018 13:30,03/02/2018 14:00,infocus projector,ENB205PaMRJL83,1
04/02/2018,04/02/2018,1,Projector,8:45 am,10:15 am,0,1.5,1.5,04/02/2018 8:45,04/02/2018 10:15,acer projector,ENB205PEX4HL94,1
04/02/2018,04/02/2018,1,Function Genarator,8:45 am,1:00 pm,0,4.25,4.25,04/02/2018 8:45,04/02/2018 13:00,function generatoreration,ENB201FGMSO6031,1
04/02/2018,04/02/2018,1,Electronic Scale,9:00 am,9:45 am,0,0.75,0.75,04/02/2018 9:00,04/02/2018 9:45,electronic scale,ENB204ESA120201,1
04/02/2018,04/02/2018,1,Negative Multitester,8:00 am,4:00 pm,0,8,8,04/02/2018 8:00,04/02/2018 16:00,negative multitester,ENB205NM1,1
04/02/2018,04/02/2018,1,Projector,10:30 am,4:00 pm,0,5.5,5.5,04/02/2018 10:30,04/02/2018 16:00,infocus projector,TC101PAMRJM31,1
04/02/2018,04/02/2018,1,Function Genarator,1:00 pm,2:15 pm,0,1.25,1.25,04/02/2018 13:00,04/02/2018 14:15,function generator,ENB201FGMSO6032,1
04/02/2018,04/02/2018,1,USB Cord,9:30 am,3:45 pm,0,6.25,6.25,04/02/2018 9:30,04/02/2018 15:45,extension cord,ENB205UC1,1
04/02/2018,04/03/2018,1,Cable Tester,1:30 pm,11:00 am,27,21.5,669.5,04/02/2018 13:30,04/03/2018 11:00,cable tester,ENB205CTPK1,1
04/02/2018,04/02/2018,1,Projector,1:30 pm,2:30 pm,0,1,1,04/02/2018 13:30,04/02/2018 14:30,infocus projector,ENB205PaMRJER1,1
04/02/2018,04/02/2018,2,Digital Logic Probe,11:45 am,4:00 pm,0,4.25,4.25,04/02/2018 11:45,04/02/2018 16:00,probe,ENB205DLP1,1
04/02/2018,04/02/2018,2,Digital Logic Probe,11:45 am,4:00 pm,0,4.25,4.25,04/02/2018 11:45,04/02/2018 16:00,probe,ENB205DLP1,1
04/02/2018,04/02/2018,1,Digital Oscilloscope,10:45 am,5:00 pm,0,6.25,6.25,04/02/2018 10:45,04/02/2018 17:00,digital oscilloscope,ENB204DOU210002,1
